title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist,year,is_case_study,is_major_label
자존심,245906.0,Fin.K.L,White,,,KR,1999,DSP Media,Fin.K.L,1999,False,False
중독,238000.0,Fin.K.L,S.P.E.C.I.A.L,,,KR,1999-11-26,DSP Media,Fin.K.L,1999,False,False
21C 우리의 희망,210000.0,G.O.D,Chapter Two,,,KR,1999-11-25,SidusHQ,G.O.D,1999,False,False
Dance All Night,230000.0,G.O.D,Chapter Two,,,KR,1999-11-25,SidusHQ,G.O.D,1999,False,False
"Exit, 20th Century - Enter the 21st... (intro)",120000.0,G.O.D,Chapter Two,,,KR,1999-11-25,SidusHQ,G.O.D,1999,False,False
Friday Night,210000.0,G.O.D,Chapter Two,,,KR,1999-11-25,SidusHQ,G.O.D,1999,False,False
Say god,223000.0,G.O.D,Chapter Two,,,KR,1999-11-25,SidusHQ,G.O.D,1999,False,False
그대 날 떠난 후로,218000.0,G.O.D,Chapter Two,,,KR,1999-11-25,SidusHQ,G.O.D,1999,False,False
기차,271000.0,G.O.D,Chapter Two,,,KR,1999-11-25,SidusHQ,G.O.D,1999,False,False
다섯 남자 이야기,195000.0,G.O.D,Chapter Two,,,KR,1999-11-25,SidusHQ,G.O.D,1999,False,False
모두 가져가,221000.0,G.O.D,Chapter Two,,,KR,1999-11-25,SidusHQ,G.O.D,1999,False,False
사랑해 그리고 기억해,265000.0,G.O.D,Chapter Two,,,KR,1999-11-25,SidusHQ,G.O.D,1999,False,False
애수,249000.0,G.O.D,Chapter Two,,,KR,1999-11-25,SidusHQ,G.O.D,1999,False,False
1.2 집모음(전사의후예/캔디/늑대와양/We Are The Future),242000.0,H.O.T.,Greatest H.O.T. Hits-Song Collection Live Album,,,KR,1999,SM Entertainment,H.O.T.,1999,False,True
3집 모음,269000.0,H.O.T.,Greatest H.O.T. Hits-Song Collection Live Album,,,KR,1999,SM Entertainment,H.O.T.,1999,False,True
8.15 (제2의 독립을 위하여...),270000.0,H.O.T.,I yah!,,,KR,1999-09-15,SM Entertainment,H.O.T.,1999,False,True
Bridge Talk,70000.0,H.O.T.,Greatest H.O.T. Hits-Song Collection Live Album,,,KR,1999,SM Entertainment,H.O.T.,1999,False,True
Dance & Rap,198000.0,H.O.T.,Greatest H.O.T. Hits-Song Collection Live Album,,,KR,1999,SM Entertainment,H.O.T.,1999,False,True
Do or die,224000.0,H.O.T.,I yah!,,,KR,1999-09-15,SM Entertainment,H.O.T.,1999,False,True
